ratings,mean_retweet_count,mean_favorite_count
1.3,6173.233333333334,23033.294444444444
1.2,3197.3117647058825,11985.970588235294
1.4,10044.952380952382,32211.333333333332
0.5,1639.1875,5291.5
1.1,2100.8044164037856,6635.179810725552
0.6,1235.0526315789473,3613.0
1.0,1357.9831081081081,3923.1013513513512
0.3,909.6363636363636,2543.2727272727275
0.8,825.1428571428571,2322.181818181818
0.9,773.219298245614,2352.90350877193
0.4,1154.125,3297.0
0.7,1129.9736842105262,3214.342105263158
0.6363636363636364,18107.0,39185.0
0.2,984.6,1889.0
